state,date,income_mean
Johor,1970,237
Johor,1974,382
Johor,1976,513
Johor,1979,731
Johor,1984,1065
Johor,1987,1060
Johor,1989,1150
Johor,1992,1713
Johor,1995,2138
Johor,1997,2772
Johor,1999,2646
Johor,2002,2963
Johor,2004,3076
Johor,2007,3457
Johor,2009,3835
Johor,2012,4658
Johor,2014,6207
Johor,2016,6928
Johor,2019,8013
Johor,2020,7264
Johor,2022,8517
Kedah,1970,189
Kedah,1974,256
Kedah,1976,306
Kedah,1979,382
Kedah,1984,690
Kedah,1987,718
Kedah,1989,749
Kedah,1992,1048
Kedah,1995,1295
Kedah,1997,1590
Kedah,1999,1612
Kedah,2002,1966
Kedah,2004,2126
Kedah,2007,2408
Kedah,2009,2667
Kedah,2012,3425
Kedah,2014,4478
Kedah,2016,4971
Kedah,2019,5522
Kedah,2020,5005
Kedah,2022,5550
Kelantan,1970,151
Kelantan,1974,231
Kelantan,1976,269
Kelantan,1979,341
Kelantan,1984,625
Kelantan,1987,667
Kelantan,1989,712
Kelantan,1992,907
Kelantan,1995,1091
Kelantan,1997,1249
Kelantan,1999,1314
Kelantan,2002,1674
Kelantan,2004,1829
Kelantan,2007,2143
Kelantan,2009,2536
Kelantan,2012,3168
Kelantan,2014,3715
Kelantan,2016,4214
Kelantan,2019,4874
Kelantan,2020,4411
Kelantan,2022,4885
Melaka,1970,265
Melaka,1974,410
Melaka,1976,568
Melaka,1979,772
Melaka,1984,1040
Melaka,1987,1034
Melaka,1989,1084
Melaka,1992,1459
Melaka,1995,1843
Melaka,1997,2276
Melaka,1999,2260
Melaka,2002,2650
Melaka,2004,2791
Melaka,2007,3421
Melaka,2009,4184
Melaka,2012,4759
Melaka,2014,6046
Melaka,2016,6849
Melaka,2019,7741
Melaka,2020,7186
Melaka,2022,8057
Negeri Sembilan,1970,286
Negeri Sembilan,1974,386
Negeri Sembilan,1976,505
Negeri Sembilan,1979,629
Negeri Sembilan,1984,1039
Negeri Sembilan,1987,908
Negeri Sembilan,1989,1083
