"Region, subregion, country or area *",Type,Year,0-4,05-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Malaysia,Country/Area,1950,20.167,1.837,0.788,1.02,1.289,1.464,1.584,1.509,1.435,1.276,1.579,1.634,2.852,3.553,5.158,4.832,3.094,1.717,0.624,0.14,0.021
Malaysia,Country/Area,1951,19.915,1.755,0.773,1.024,1.275,1.441,1.567,1.499,1.438,1.326,1.562,1.622,2.721,3.411,4.681,4.578,2.947,1.427,0.493,0.091,0.015
Malaysia,Country/Area,1952,19.386,1.723,0.746,1.046,1.274,1.444,1.546,1.506,1.393,1.41,1.498,1.669,2.529,3.379,4.191,4.302,2.867,1.194,0.397,0.067,0.011
Malaysia,Country/Area,1953,18.834,1.705,0.714,1.07,1.273,1.45,1.515,1.523,1.334,1.509,1.423,1.745,2.323,3.397,3.762,4.033,2.809,1.032,0.33,0.054,0.007
Malaysia,Country/Area,1954,18.274,1.689,0.687,1.084,1.278,1.454,1.489,1.53,1.286,1.586,1.384,1.802,2.169,3.378,3.454,3.753,2.734,0.942,0.28,0.04,0.005
Malaysia,Country/Area,1955,17.675,1.689,0.667,1.091,1.291,1.458,1.471,1.527,1.261,1.622,1.393,1.828,2.092,3.303,3.273,3.481,2.639,0.908,0.241,0.033,0.003
Malaysia,Country/Area,1956,17.071,1.72,0.654,1.038,1.259,1.405,1.435,1.505,1.255,1.624,1.448,1.806,2.076,3.156,3.188,3.197,2.527,0.898,0.209,0.028,0.002
Malaysia,Country/Area,1957,16.467,1.735,0.648,0.964,1.222,1.327,1.392,1.461,1.262,1.576,1.55,1.738,2.137,2.94,3.201,2.907,2.42,0.901,0.184,0.024,0.002
Malaysia,Country/Area,1958,15.799,1.733,0.644,0.866,1.161,1.224,1.33,1.39,1.266,1.494,1.658,1.647,2.224,2.692,3.227,2.634,2.297,0.903,0.168,0.021,0.002
Malaysia,Country/Area,1959,15.068,1.69,0.638,0.807,1.125,1.161,1.271,1.315,1.256,1.411,1.726,1.599,2.291,2.527,3.236,2.458,2.17,0.901,0.162,0.019,0.001
Malaysia,Country/Area,1960,14.309,1.636,0.639,0.758,1.078,1.107,1.213,1.247,1.236,1.35,1.752,1.603,2.316,2.444,3.18,2.37,2.039,0.89,0.166,0.019,0.001
Malaysia,Country/Area,1961,13.533,1.572,0.645,0.719,1.024,1.063,1.156,1.188,1.21,1.317,1.741,1.666,2.294,2.447,3.074,2.366,1.909,0.881,0.173,0.018,0.001
Malaysia,Country/Area,1962,12.765,1.507,0.645,0.689,0.957,1.029,1.095,1.134,1.176,1.305,1.683,1.789,2.212,2.533,2.9,2.427,1.772,0.872,0.183,0.017,0.001
Malaysia,Country/Area,1963,12.047,1.437,0.641,0.666,0.887,0.991,1.034,1.082,1.132,1.297,1.598,1.933,2.106,2.653,2.704,2.5,1.649,0.859,0.193,0.016,0.001
Malaysia,Country/Area,1964,11.356,1.387,0.643,0.639,0.823,0.932,0.982,1.022,1.111,1.262,1.54,2.029,2.026,2.709,2.542,2.508,1.565,0.83,0.2,0.016,0.001
Malaysia,Country/Area,1965,10.645,1.322,0.631,0.629,0.776,0.883,0.943,0.976,1.081,1.242,1.497,2.094,2.033,2.747,2.495,2.496,1.555,0.807,0.208,0.019,0.001
Malaysia,Country/Area,1966,10.003,1.286,0.629,0.637,0.755,0.845,0.93,0.951,1.068,1.232,1.493,2.123,2.127,2.745,2.539,2.455,1.604,0.784,0.217,0.022,0.001
