"Region, subregion, country or area *",Type,Year,0-4,05-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Malaysia,Country/Area,1950,22.514,1.844,0.874,0.878,1.216,1.187,1.375,1.616,1.904,2.253,2.546,2.459,3.785,4.809,6.250,5.277,3.298,1.677,0.546,0.118,0.016
Malaysia,Country/Area,1951,22.520,1.776,0.868,0.936,1.301,1.266,1.422,1.650,1.948,2.340,2.603,2.488,3.608,4.557,5.723,5.026,3.140,1.421,0.442,0.078,0.012
Malaysia,Country/Area,1952,22.166,1.738,0.835,0.942,1.224,1.224,1.343,1.592,1.871,2.379,2.571,2.554,3.345,4.368,5.153,4.728,3.033,1.202,0.361,0.059,0.009
Malaysia,Country/Area,1953,21.719,1.719,0.794,0.927,1.093,1.139,1.227,1.514,1.754,2.408,2.510,2.648,3.081,4.224,4.645,4.434,2.951,1.047,0.303,0.047,0.006
Malaysia,Country/Area,1954,21.228,1.706,0.758,0.931,1.045,1.111,1.171,1.471,1.679,2.433,2.488,2.738,2.900,4.072,4.259,4.136,2.864,0.959,0.262,0.036,0.004
Malaysia,Country/Area,1955,20.700,1.717,0.730,0.908,0.988,1.054,1.109,1.409,1.607,2.416,2.490,2.787,2.811,3.887,3.974,3.834,2.762,0.919,0.230,0.029,0.003
Malaysia,Country/Area,1956,20.145,1.721,0.713,0.907,0.997,1.037,1.083,1.351,1.564,2.359,2.532,2.816,2.814,3.683,3.788,3.539,2.661,0.907,0.202,0.026,0.002
Malaysia,Country/Area,1957,19.586,1.708,0.706,0.891,1.029,1.009,1.069,1.286,1.538,2.263,2.608,2.810,2.909,3.435,3.686,3.247,2.566,0.907,0.182,0.022,0.002
Malaysia,Country/Area,1958,18.915,1.682,0.709,0.857,1.057,0.972,1.051,1.214,1.515,2.145,2.692,2.790,3.049,3.197,3.619,2.985,2.464,0.913,0.166,0.020,0.001
Malaysia,Country/Area,1959,18.108,1.666,0.711,0.789,1.016,0.901,1.005,1.142,1.476,2.038,2.728,2.776,3.156,3.028,3.528,2.789,2.347,0.914,0.160,0.019,0.001
Malaysia,Country/Area,1960,17.281,1.635,0.721,0.743,0.984,0.867,0.971,1.091,1.438,1.955,2.731,2.801,3.224,2.954,3.400,2.653,2.217,0.907,0.164,0.018,0.001
Malaysia,Country/Area,1961,16.449,1.591,0.738,0.703,0.935,0.839,0.925,1.048,1.390,1.881,2.686,2.850,3.241,2.954,3.227,2.559,2.075,0.893,0.168,0.017,0.001
Malaysia,Country/Area,1962,15.610,1.544,0.747,0.672,0.873,0.825,0.871,1.014,1.330,1.823,2.592,2.934,3.209,3.038,3.012,2.513,1.926,0.881,0.175,0.015,0.001
Malaysia,Country/Area,1963,14.787,1.491,0.752,0.656,0.812,0.818,0.821,0.988,1.273,1.781,2.481,3.040,3.160,3.175,2.809,2.489,1.799,0.867,0.183,0.015,0.001
Malaysia,Country/Area,1964,13.971,1.438,0.762,0.651,0.770,0.803,0.781,0.945,1.242,1.714,2.411,3.126,3.148,3.295,2.685,2.447,1.713,0.847,0.190,0.015,0.001
Malaysia,Country/Area,1965,13.142,1.389,0.760,0.654,0.727,0.774,0.754,0.915,1.210,1.672,2.345,3.175,3.192,3.388,2.658,2.391,1.670,0.823,0.196,0.016,0.001
Malaysia,Country/Area,1966,12.400,1.364,0.763,0.675,0.708,0.747,0.752,0.894,1.203,1.640,2.313,3.193,3.292,3.458,2.720,2.320,1.662,0.798,0.203,0.019,0.001
Malaysia,Country/Area,1967,11.749,1.355,0.767,0.721,0.704,0.728,0.775,0.901,1.195,1.658,2.281,3.181,3.473,3.513,2.890,2.236,1.696,0.775,0.211,0.022,0.001
Malaysia,Country/Area,1968,11.220,1.320,0.768,0.766,0.742,0.721,0.820,0.886,1.222,1.629,2.303,3.117,3.654,3.523,3.085,2.134,1.728,0.751,0.218,0.024,0.001
Malaysia,Country/Area,1969,10.798,1.269,0.761,0.815,0.791,0.719,0.853,0.876,1.241,1.608,2.314,3.050,3.786,3.556,3.246,2.081,1.732,0.738,0.219,0.025,0.001
Malaysia,Country/Area,1970,10.449,1.216,0.753,0.834,0.843,0.712,0.865,0.865,1.260,1.583,2.328,2.998,3.850,3.623,3.353,2.080,1.708,0.734,0.217,0.026,0.001
Malaysia,Country/Area,1971,10.059,1.156,0.740,0.843,0.887,0.700,0.849,0.869,1.248,1.584,2.302,2.979,3.872,3.748,3.429,2.143,1.669,0.744,0.214,0.029,0.001
Malaysia,Country/Area,1972,9.690,1.098,0.723,0.849,0.924,0.704,0.827,0.898,1.227,1.611,2.270,2.994,3.830,3.940,3.482,2.272,1.607,0.766,0.210,0.031,0.002
Malaysia,Country/Area,1973,9.366,1.039,0.704,0.850,0.952,0.718,0.798,0.930,1.201,1.645,2.228,3.022,3.741,4.146,3.513,2.432,1.543,0.790,0.208,0.033,0.002
Malaysia,Country/Area,1974,8.972,0.982,0.683,0.861,0.996,0.749,0.781,0.958,1.191,1.675,2.200,3.046,3.665,4.308,3.579,2.579,1.520,0.801,0.210,0.034,0.002
Malaysia,Country/Area,1975,8.552,0.932,0.658,0.864,1.018,0.789,0.769,0.964,1.192,1.691,2.186,3.051,3.617,4.400,3.688,2.695,1.545,0.800,0.216,0.035,0.002
Malaysia,Country/Area,1976,8.143,0.886,0.636,0.887,1.054,0.857,0.784,0.974,1.226,1.697,2.208,3.045,3.607,4.443,3.853,2.798,1.619,0.794,0.226,0.035,0.002
Malaysia,Country/Area,1977,7.737,0.849,0.619,0.932,1.132,0.954,0.828,0.986,1.302,1.692,2.264,3.022,3.638,4.411,4.072,2.864,1.743,0.778,0.240,0.035,0.003
Malaysia,Country/Area,1978,7.364,0.821,0.607,0.983,1.220,1.056,0.887,0.995,1.396,1.685,2.339,2.989,3.691,4.335,4.307,2.914,1.892,0.764,0.254,0.036,0.003
Malaysia,Country/Area,1979,7.003,0.795,0.593,0.989,1.237,1.089,0.910,0.968,1.443,1.683,2.383,2.960,3.719,4.257,4.475,2.981,2.023,0.769,0.263,0.038,0.003
Malaysia,Country/Area,1980,6.703,0.773,0.581,0.993,1.252,1.111,0.947,0.953,1.467,1.702,2.416,2.962,3.750,4.229,4.521,3.057,2.116,0.792,0.264,0.042,0.003
Malaysia,Country/Area,1981,6.475,0.754,0.580,1.015,1.307,1.155,1.015,0.966,1.477,1.758,2.436,3.008,3.779,4.246,4.535,3.188,2.201,0.845,0.266,0.044,0.004
Malaysia,Country/Area,1982,6.255,0.738,0.578,1.014,1.318,1.162,1.052,0.978,1.452,1.833,2.426,3.072,3.791,4.284,4.497,3.377,2.272,0.930,0.268,0.049,0.004
Malaysia,Country/Area,1983,6.050,0.721,0.578,1.017,1.348,1.187,1.094,1.012,1.427,1.917,2.419,3.143,3.784,4.319,4.508,3.638,2.365,1.041,0.274,0.054,0.004
Malaysia,Country/Area,1984,5.842,0.699,0.577,1.019,1.381,1.252,1.138,1.077,1.416,1.944,2.439,3.182,3.803,4.297,4.572,3.837,2.454,1.134,0.286,0.058,0.005
Malaysia,Country/Area,1985,5.619,0.684,0.580,1.053,1.434,1.319,1.192,1.159,1.433,1.974,2.494,3.233,3.846,4.290,4.615,3.989,2.613,1.232,0.313,0.061,0.005
Malaysia,Country/Area,1986,5.387,0.670,0.585,1.095,1.487,1.389,1.244,1.252,1.468,1.995,2.589,3.280,3.919,4.300,4.665,4.087,2.807,1.319,0.347,0.066,0.006
Malaysia,Country/Area,1987,5.110,0.666,0.594,1.146,1.523,1.415,1.294,1.318,1.519,2.043,2.711,3.340,4.017,4.379,4.687,4.172,3.083,1.407,0.398,0.066,0.007
Malaysia,Country/Area,1988,4.921,0.664,0.599,1.171,1.529,1.437,1.332,1.375,1.576,2.068,2.830,3.389,4.134,4.438,4.769,4.201,3.340,1.471,0.447,0.068,0.008
Malaysia,Country/Area,1989,4.587,0.659,0.604,1.200,1.533,1.449,1.367,1.423,1.645,2.104,2.932,3.453,4.259,4.490,4.885,4.208,3.569,1.555,0.491,0.072,0.008
Malaysia,Country/Area,1990,4.456,0.669,0.615,1.210,1.515,1.411,1.386,1.450,1.740,2.177,3.007,3.578,4.358,4.567,4.995,4.277,3.786,1.676,0.534,0.080,0.009
Malaysia,Country/Area,1991,4.363,0.669,0.625,1.223,1.510,1.369,1.404,1.467,1.808,2.258,3.043,3.713,4.466,4.633,5.128,4.259,3.907,1.793,0.563,0.088,0.009
Malaysia,Country/Area,1992,4.287,0.654,0.628,1.248,1.524,1.352,1.429,1.491,1.866,2.352,3.082,3.828,4.579,4.703,5.272,4.246,3.991,1.949,0.591,0.099,0.009
Malaysia,Country/Area,1993,4.214,0.627,0.625,1.323,1.602,1.411,1.485,1.547,1.906,2.434,3.146,3.898,4.703,4.761,5.409,4.225,4.014,2.106,0.618,0.111,0.009
Malaysia,Country/Area,1994,4.102,0.588,0.622,1.418,1.695,1.494,1.554,1.646,1.987,2.548,3.269,3.980,4.803,4.894,5.470,4.388,4.076,2.279,0.665,0.123,0.010
Malaysia,Country/Area,1995,4.002,0.567,0.638,1.513,1.785,1.594,1.651,1.788,2.082,2.672,3.388,4.090,4.893,5.086,5.462,4.626,4.046,2.358,0.702,0.129,0.011
Malaysia,Country/Area,1996,3.938,0.574,0.665,1.573,1.845,1.701,1.767,1.961,2.194,2.772,3.509,4.171,5.001,5.332,5.405,4.870,3.968,2.369,0.738,0.132,0.012
Malaysia,Country/Area,1997,3.718,0.560,0.674,1.591,1.840,1.775,1.872,2.111,2.341,2.872,3.651,4.309,5.170,5.595,5.436,5.119,3.945,2.366,0.785,0.137,0.013
